58;Capacity(W);Input Power(W);Flow Rate(kg/h);Current(A);Discharge T;;;cooling capacity;;;;
P1;142550.8913;8424.560416;2484.592688;30.05676709;23.63965942;;8424.560416;132764.9095;142550.8913;;0.690164636;2484.592688
P2;5209.22108;-60.67055596;88.02115783;0.012597058;0.158219322;;-60.67055596;5224.951657;5209.22108;;0.024450322;88.02115783
P3;-574.8934375;360.1146186;0.855492433;0.157214331;0.741745488;;360.1146186;-870.4488886;-574.8934375;;0.000237637;0.855492433
P4;77.29556781;-3.141230399;1.22075026;0.000557597;0.00633925;;-3.141230399;80.10972797;77.29556781;;0.000339097;1.22075026
P5;-26.4389221;6.020667692;0.038895044;0.001469543;0.000454364;;6.020667692;-31.60105025;-26.4389221;;1.08042E-05;0.038895044
P6;-4.919299895;-2.178585456;-0.042906789;0.002163517;-0.003061067;;-2.178585456;-3.224439046;-4.919299895;;-1.19186E-05;-0.042906789
P7;0.40278221;-0.051559684;0.007386537;7.91531E-05;-0.000519335;;-0.051559684;0.447337492;0.40278221;;2.05182E-06;0.007386537
P8;-0.352026282;0.087991806;-0.000431733;1.45325E-05;0.0005192;;0.087991806;-0.444464009;-0.352026282;;-1.19926E-07;-0.000431733
P9;-0.130921456;-0.058084763;-0.000909542;-3.56308E-06;-0.000344492;;-0.058084763;-0.070582282;-0.130921456;;-2.52651E-07;-0.000909542
P10;0.066760405;0.060034123;-8.75E-05;6.14472E-05;0.000114743;;0.060034123;0.008983848;0.066760405;;-2.42924E-08;-8.74526E-05
