PN;2718315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculation Type;FROM_POWER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Units;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Use Economizer?;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compressor;TGH285-E-3-MT-SL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-42084786;-17.9;-5;0;4;-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1261877129;-17.9;-2.5;0;4;-8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1729128252;-17.9;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=2028040231;-17.9;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-962965150;-17.9;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=340996765;-17.9;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1644958680;-17.9;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1107159867;-17.9;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1883845514;-17.9;15;0;4;9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1346039274;-17.9;17.5;0;4;11.5;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-42077359;-17.9;20;0;4;14;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=1261884556;-17.9;22.5;20.56246939;4;16.5;3.3;0.781715935;139.4471244;5.856289337;29.60314368;227.2879752;199.5595704;31025.60372;0.392713665;0.011525061;3.245922942;20.5624756;66.74421128;-17.9;22.5;4;16.5;106.0713003;461.9362892;42.22470212;4.354960183;0.779562975;68.61180052;40.07559431;0.604196068;221.3553316;6.784952935;0.037841704;3.904196068;29.60314368;10;20.56246939;37.72094136
CID=-1729120825;-17.9;25;24.15867344;4;19;3.8;0.781715935;139.4471244;5.856289337;31.65000733;228.7632038;199.5595704;31573.45133;0.429263354;0.012838682;2.98349915;24.15868702;72.07742219;-17.9;25;4;19;106.0713003;498.5780826;46.18427223;4.700405117;0.799683945;98.62109189;45.89979299;1.649926778;229.9670096;8.018181318;0.045057042;5.449926778;31.65000733;10;24.15867344;37.52080639
CID=2028047658;-17.9;27.5;27.74725442;4;21.5;4.3;0.781715935;139.4471244;5.856289337;33.68978009;230.2117453;199.5595704;32527.69068;0.473537048;0.014190416;2.83074624;27.74727377;78.54549089;-17.9;27.5;4;21.5;106.0713003;537.3761508;48.76301359;5.066178593;0.816888302;88.66826923;51.60757094;2.685490522;238.7471195;9.518329632;0.053893699;6.985490522;33.68978009;10;27.74725442;38.00397361
