PN;2718315;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculation Type;FROM_POWER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Units;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Use Economizer?;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compressor;TGH285-E-3-MT-SL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=291461835;-17.9;-5;3.648327369;4;-11;0;0.781715935;139.4471244;5.856289337;10.1532702;209.2355701;199.5595704;18401.97521;0.139791676;0.007204223;7.257412579;3.64832837;26.47742421;-17.9;-5;4;-11;106.0713003;179.358072;6.47171573;1.690919895;0.6293652;39.12857463;8.807384798;0;0;0;0;0;0;10;3.648327369;8.390016365
CID=1877748752;-17.9;-2.5;4.363299912;4;-8.5;0;0.781715935;139.4471244;5.856289337;13.37041384;211.0191737;199.5595704;20128.42564;0.158139537;0.006813769;6.748069805;4.363302081;29.44386702;-17.9;-2.5;4;-8.5;106.0713003;197.2508032;10.58943935;1.859605782;0.638164483;23.18217933;10.38815515;0;0;0;0;0;0;10;4.363299912;10.58790568
CID=-830931627;-17.9;0;5.083673483;4;-6;0;0.781715935;139.4471244;5.856289337;16.6012903;212.7735806;199.5595704;21352.84567;0.176925202;0.006819684;6.367426537;5.083675567;32.36993071;-17.9;0;4;-6;106.0713003;216.4944088;13.44453685;2.041027198;0.646760809;43.3266705;11.94235308;0;0;0;0;0;0;10;5.083673483;13.11762197
CID=1111585650;-17.9;2.5;5.901534229;4;-3.5;0;0.781715935;139.4471244;5.856289337;19.8464382;214.4990243;199.5595704;22429.04348;0.194087443;0.006974198;5.91033454;5.901537739;34.88006234;-17.9;2.5;4;-3.5;106.0713003;237.1557572;16.43861639;2.235814557;0.656203098;61.26105416;13.66415211;0;0;0;0;0;0;10;5.901534229;15.38020759
CID=1212342199;-17.9;5;7.040191375;4;-1;0;0.781715935;139.4471244;5.856289337;23.10639872;216.19574;199.5595704;23938.19503;0.213219816;0.007274043;5.344073126;7.040194231;37.62331279;-17.9;5;4;-1;106.0713003;259.3030423;20.25031718;2.444610763;0.668808081;48.27804487;15.99333025;0;0;0;0;0;0;10;7.040191375;18.55311842
CID=-1496338180;-17.9;7.5;8.305695415;4;1.5;0.3;0.781715935;139.4471244;5.856289337;26.38171718;217.8639631;199.5595704;24832.69502;0.237304823;0.007688342;4.947920821;8.305698749;41.09593977;-17.9;7.5;4;1.5;106.0713003;283.0057566;23.36000843;2.668070966;0.682111858;75.96091285;18.50019694;0;0;0;0;0;0;10;8.305695415;21.97521691
CID=89948737;-17.9;10;9.529205169;4;4;0.8;0.781715935;139.4471244;5.856289337;29.67294474;219.5039284;199.5595704;25921.03961;0.252552459;0.008153429;4.502501128;9.529211398;42.90528507;-17.9;10;4;4;106.0713003;308.3346683;26.90924059;2.906862341;0.694303872;82.8253999;20.85274105;0;0;0;0;0;0;10;9.529205169;25.4247287
CID=2032466014;-17.9;12.5;11.09399131;4;6.5;1.3;0.781715935;139.4471244;5.856289337;32.98064018;221.1158693;199.5595704;27288.26047;0.278215699;0.008762815;4.177472578;11.09399827;46.34487354;-17.9;12.5;4;6.5;106.0713003;335.3618017;29.98021689;3.161663907;0.708990387;54.69821034;23.77406923;0;0;0;0;0;0;10;11.09399131;28.52792948
CID=2133222563;-17.9;15;12.861462;4;9;1.8;0.781715935;139.4471244;5.856289337;36.30537198;222.7000175;199.5595704;28401.68181;0.302890528;0.009485219;3.844673328;12.86146993;49.4481504;-17.9;15;4;9;106.0713003;364.160422;33.37751026;3.43316638;0.724433121;70.31002337;26.97416964;0;0;0;0;0;0;10;12.861462;32.2249341
