PN;2718312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculation Type;FROM_POWER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Units;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Use Economizer?;WAHR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compressor;TTH375-E-1-MT-SL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=714772774;-18;-5;0;4;-11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772809;-18;-2.5;0;4;-8.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772712;-18;0;0;4;-6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772739;-18;2.5;0;4;-3.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772898;-18;5;0;4;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772933;-18;7.5;0;4;1.5;0.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772836;-18;10;0;4;4;0.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772367;-18;12.5;0;4;6.5;1.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=714772526;-18;15;0;4;9;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1982677982;-18;17.5;0;4;11.5;2.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1982677823;-18;20;0;4;14;2.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CID=-1982677788;-18;22.5;28.29135698;4;16.5;3.3;1.75236476;147.8756507;7.216881745;205.2586374;421.6584674;391.0779783;32608.80759;0.498198077;0.012828997;3.272193538;28.29137008;92.57483836;-18;22.5;4;16.5;144.6003673;617.2018999;50.13298969;4.268328716;0.819272716;62.69960161;52.46639973;0.555618525;298.7434039;8.845320949;0.045672406;3.855618525;205.2586374;10;28.29135698;54.709828
CID=-1982677885;-18;25;33.19145298;4;19;3.8;1.75236476;147.8756507;7.216881745;207.359843;423.3025543;391.0779783;33199.91317;0.540741357;0.014456109;2.993057589;33.19147418;99.34399369;-18;25;4;19;144.6003673;665.3809326;54.7429485;4.601516201;0.838409549;85.25275948;60.14868009;1.602245336;310.1843439;10.38408833;0.054034305;5.402245336;207.359843;10;33.19145298;54.85658838
CID=-1982677858;-18;27.5;38.36865037;4;21.5;4.3;1.75236476;147.8756507;7.216881745;209.4541157;424.9195628;391.0779783;34102.73321;0.598173601;0.016210779;2.831544635;38.36866936;108.6425999;-18;27.5;4;21.5;144.6003673;716.3448726;57.76941809;4.953963024;0.854693418;93.27032689;68.20593311;2.638825663;321.8442662;12.36582299;0.064850681;6.938825663;209.4541157;10;38.36865037;55.3459638
