PN;2718312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculation Type;FROM_POWER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Units;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Use Economizer?;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compressor;TTH375-E-1-MT-SL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=-132218218;-18;-5;0;4;-11;0;1.75236476;147.8756507;7.216881745;185.380063;401.7246444;391.0779783;20057.82309;0.314031707;0.006128677;10.33372253;6.250958195;64.59566753;-18;-5;4;-11;144.6003673;243.3423699;7.644486191;1.682861354;0.66013704;110;14.38693459;0;0;0;0;0;0;5;4.549805177;11.5167338
CID=-132218187;-18;-2.5;0;4;-8.5;0;1.75236476;147.8756507;7.216881745;188.6759598;403.6804776;391.0779783;21487.03005;0.345730173;0.006446389;9.165107449;7.635097058;69.97648492;-18;-2.5;4;-8.5;144.6003673;267.1911221;11.03853694;1.847790065;0.675152285;110;17.1817975;0;0;0;0;0;0;5;5.576968412;14.6204337
CID=-132218156;-18;0;0;4;-6;0;1.75236476;147.8756507;7.216881745;191.9872538;405.6070518;391.0779783;23237.18262;0.406219768;0.007035783;8.197263248;9.86604742;80.87458791;-18;0;4;-6;144.6003673;292.8031823;14.56216301;2.024913131;0.697549283;110;21.4893895;0;0;0;0;0;0;5;6.789260218;18.18018287
CID=-132218373;-18;2.5;0;4;-3.5;0;1.75236476;147.8756507;7.216881745;195.3144074;407.5045206;391.0779783;24299.4692;0.424731592;0.007485088;7.418533161;11.2080072;83.1469731;-18;2.5;4;-3.5;144.6003673;320.2634909;17.5713175;2.214817963;0.710022306;110;23.9834792;0;0;0;0;0;0;5;7.85110345;21.34583941
CID=-132218342;-18;5;0;4;-1;0;1.75236476;147.8756507;7.216881745;198.6579082;409.3730505;391.0779783;25443.89286;0.456146016;0.008086411;6.747780612;13.007484;87.77164834;-18;5;4;-1;144.6003673;349.6586079;20.65856494;2.41810318;0.725657162;110;27.23438612;0;0;0;0;0;0;5;9.55881881;25.77082925
CID=-132218311;-18;7.5;0;4;1.5;0.3;1.75236476;147.8756507;7.216881745;202.0182716;411.2128191;391.0779783;26738.14236;0.503332376;0.008924121;6.13169943;15.51933074;95.15987146;-18;7.5;4;1.5;144.6003673;381.0766891;23.97369433;2.635378432;0.745554147;110;31.62638653;0;0;0;0;0;0;5;11.09697043;30.64404903
CID=-132218280;-18;10;0;4;4;0.8;1.75236476;147.8756507;7.216881745;205.3960427;413.0240134;391.0779783;28046.84508;0.566278216;0.010010448;5.616580516;18.72093436;105.1476352;-18;10;4;4;144.6003673;414.6074674;27.20123422;2.867264276;0.767990132;110;37.03630541;0;0;0;0;0;0;5;13.09163057;35.95713967
