PN;2718312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Calculation Type;FROM_POWER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Units;SI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Use Economizer?;FALSCH;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Compressor;TTH375-E-1-MT-SL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Step SST;Step SDT;Percent Power;;Subcooling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;3;2.5;0;;6;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;11;11
;INPUT BLOCK;;;;;;OUTPUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CID;SST Verd. Temp;SDT Kond. Temperatur;Value Power;SSH Superheat;LLT Leaving Liquid Temp;tapp T approach Economizer;ENTROPY_SUCTION;SPEED_SOUND;DENSITY_SUCTION;ENTHALPY_LIQUID_CONDENSER_EXIT;ENTHALPY_DISCHARGE_ISENTROPIC;ENTHALPY_SUCTION;SPEED_COMPRESSOR;MASS_FLOW_RATE_EVAPORATOR;MASS_FLOW_RATE_MOTOR_COOLING;COEFFICIENT_OF_PERFORMANCE;POWER_INPUT_ELECTRICAL;CAPACITY_EVAPORATOR;TEMPERATURE_SUCT_SAT;TEMPERATURE_DISCH_SAT;TEMPERATURE_SUCT_SUPER_HEAT;TEMPERATURE_CONDENSER_LIQUID_LEAVING;PRESSURE_SUCT_ABSOLUTE;PRESSURE_DISCH_ABSOLUTE;TEMPERATURE_DISCH;PRESSURE_RATIO;POWER_FACTOR;IGV_ANGLE;INPUT_CURRENT;ECON_SAT_TEMP;ECON_INTERSTAGE_P;ECON_CAPACITY;ECON_MASS_FLOW;TEMPERATURE_ECO_LIQUID_LEAVING;ENTHALPY_LIQUID_ECO_EXIT;TOLERANCE;POWER_INPUT_ELECTRICAL;POWER_INPUT_ELECTRICAL
CID=390018774;-18;-5;4.549805177;4;-11;0;1.75236476;147.8756507;7.216881745;185.380063;401.7246444;391.0779783;19476.10115;0.185973884;0.006122581;8.407926206;4.549806845;38.25444021;-18;-5;4;-11;144.6003673;243.3423699;9.418362276;1.682861354;0.640415682;37.45237618;10.79410847;0;0;0;0;0;0;10;4.549805177;11.5167338
CID=390018739;-18;-2.5;5.576968412;4;-8.5;0;1.75236476;147.8756507;7.216881745;188.6759598;403.6804776;391.0779783;21189.78048;0.201934614;0.006169915;7.328704965;5.57697079;40.87197352;-18;-2.5;4;-8.5;144.6003673;267.1911221;14.25193709;1.847790065;0.652495638;24.23236145;12.98603393;0;0;0;0;0;0;10;5.576968412;14.6204337
CID=390018580;-18;0;6.789260218;4;-6;0;1.75236476;147.8756507;7.216881745;191.9872538;405.6070518;391.0779783;22339.24665;0.23371406;0.006406535;6.853512647;6.78926324;46.53030148;-18;0;4;-6;144.6003673;292.8031823;17.35403797;2.024913131;0.666083036;50.38012145;15.48638495;0;0;0;0;0;0;10;6.789260218;18.18018287
CID=390018801;-18;2.5;7.85110345;4;-3.5;0;1.75236476;147.8756507;7.216881745;195.3144074;407.5045206;391.0779783;23603.84974;0.249421139;0.006707505;6.219195827;7.851107145;48.82757279;-18;2.5;4;-3.5;144.6003673;320.2634909;20.89990222;2.214817963;0.677416008;55.59498306;17.60885938;0;0;0;0;0;0;10;7.85110345;21.34583941
CID=390018898;-18;5;9.55881881;4;-1;0;1.75236476;147.8756507;7.216881745;198.6579082;409.3730505;391.0779783;25099.99791;0.278253021;0.007205684;5.60126013;9.558825077;53.54146579;-18;5;4;-1;144.6003673;349.6586079;25.03005715;2.41810318;0.694591088;51.2497172;20.90889509;0;0;0;0;0;0;10;9.55881881;25.77082925
CID=390018863;-18;7.5;11.09697043;4;1.5;0.3;1.75236476;147.8756507;7.216881745;202.0182716;411.2128191;391.0779783;26024.54953;0.297053742;0.007721617;5.060917764;11.09697807;56.16089341;-18;7.5;4;1.5;144.6003673;381.0766891;29.01801624;2.635378432;0.709017422;66.50775717;23.77954808;0;0;0;0;0;0;10;11.09697043;30.64404903
CID=390018704;-18;10;13.09163057;4;4;0.8;1.75236476;147.8756507;7.216881745;205.3960427;413.0240134;391.0779783;27215.09911;0.327765694;0.008403137;4.648782539;13.09163592;60.86016847;-18;10;4;4;144.6003673;414.6074674;32.65277561;2.867264276;0.726359127;91.82604501;27.38408896;0;0;0;0;0;0;10;13.09163057;35.95713967
CID=390018429;-18;12.5;15.26239065;4;6.5;1.3;1.75236476;147.8756507;7.216881745;208.7917993;414.8068292;391.0779783;28541.20478;0.35900372;0.009181159;4.287754974;15.26239646;65.44141634;-18;12.5;4;6.5;144.6003673;450.3422403;36.19513625;3.114392092;0.743616153;60.86230519;31.18384706;0;0;0;0;0;0;10;15.26239065;39.94001937
CID=390018526;-18;15;17.7058819;4;9;1.8;1.75236476;147.8756507;7.216881745;212.2061546;416.5614693;391.0779783;29517.91437;0.390115536;0.010085404;3.941100151;17.70588785;69.78067727;-18;15;4;9;144.6003673;488.3738644;39.96401889;3.377404039;0.761208433;80.12904599;35.34027249;0;0;0;0;0;0;10;17.7058819;45.44839036
