;qV;pfs;Ped;n;LwAout;LwAin;I;nom Lst;eta
1;9667;0;244;772;59;59;1.08;0;0
2;9256;13;264;773;59;59;1.17;33.42444444;0.126607744
3;8788;28;287;772;59;59;1.27;68.35111111;0.238157182
4;8313;37;303;772;59;59;1.34;85.43916667;0.281977448
5;7803;48;320;773;59;59;1.42;104.04;0.325125
6;7242;57;338;772;59;59;1.49;114.665;0.339245562
7;6676;66;353;772;60;60;1.56;122.3933333;0.346723324
8;6189;75;367;772;62;62;1.62;128.9375;0.351328338
9;5848;80;380;772;63;63;1.68;129.9555556;0.341988304
10;5598;83;386;773;65;65;1.70;129.065;0.334365285
11;8271;0;159;662;54;54;0.71;0;0
12;7733;15;179;662;54;54;0.79;32.22083333;0.180004655
13;7070;29;197;662;54;54;0.88;56.95277778;0.289100395
14;6322;40;213;662;55;55;0.95;70.24444444;0.329786124
15;5597;51;226;662;56;56;1.00;79.29083333;0.350844395
16;5090;58;237;662;59;59;1.05;82.00555556;0.346015002
17;6828;0;90;542;50;50;0.42;0;0
18;6413;9;98;542;49;49;0.45;16.0325;0.163596939
19;5789;20;110;542;49;49;0.50;32.16111111;0.292373737
20;5088;28;119;542;50;50;0.54;39.57333333;0.33254902
21;4592;34;122;542;51;51;0.55;43.36888889;0.355482696
22;4114;39;129;542;54;54;0.58;44.56833333;0.345490956
23;5430;0;48;431;47;47;0.25;0;0
24;5127;6;53;431;47;47;0.27;8.545;0.161226415
25;4589;13;59;432;47;47;0.29;16.57138889;0.280870998
26;3994;18;63;432;47;47;0.31;19.97;0.316984127
27;3584;22;66;432;48;48;0.32;21.90222222;0.331851852
28;3312;24;68;432;49;49;0.33;22.08;0.324705882
29;3974;0;23;311;41;41;0.16;0;0
30;3735;3;25;311;40;40;0.17;3.1125;0.1245
31;3248;7;27;312;40;40;0.18;6.315555556;0.233909465
32;2944;9;28;311;40;40;0.18;7.36;0.262857143
33;2560;11;29;311;41;41;0.18;7.822222222;0.269731801
34;2399;12;30;311;41;41;0.19;7.996666667;0.266555556
