;qV;pfs;Ped;n;LwAout;LwAin;I;nom Lst;eta
1;30994;0;1017;733;75;75;1.7;0;0
2;29338;29;1135;732;74;74;1.8;236.3338889;0.208223691
3;27639;55;1238;732;73;73;2.0;422.2625;0.34108441
4;26005;77;1327;733;73;73;2.1;556.2180556;0.419154526
5;24713;96;1396;732;73;73;2.2;659.0133333;0.472072588
6;23114;113;1465;732;74;74;2.3;725.5227778;0.495237391
7;21456;128;1517;732;75;75;2.4;762.88;0.502887278
8;20013;142;1568;732;76;76;2.5;789.4016667;0.50344494
9;18390;156;1610;732;78;78;2.5;796.9;0.494968944
10;16588;167;1636;732;81;81;2.6;769.4988889;0.470353844
11;14912;172;1650;732;85;85;2.6;712.4622222;0.431795286
12;28409;0;794;672;73;73;1.3;0;0
13;26354;34;914;672;71;71;1.5;248.8988889;0.272318259
14;24036;64;1028;672;70;70;1.7;427.3066667;0.415667964
15;21293;94;1131;672;71;71;1.8;555.9838889;0.491586109
16;18630;117;1202;672;73;73;1.9;605.475;0.503722962
17;15431;139;1263;672;78;78;2.0;595.8080556;0.471740345
18;22765;0;424;541;68;68;0.8;0;0
19;21382;19;477;541;66;66;0.9;112.8494444;0.236581645
20;19373;41;540;542;65;65;1.0;220.6369444;0.408586934
21;17240;62;594;542;65;65;1.1;296.9111111;0.499850355
22;15107;76;632;541;67;67;1.1;318.9255556;0.504629044
23;12554;91;662;542;72;72;1.1;317.3372222;0.479361363
24;16963;0;185;402;62;62;0.5;0;0
25;15944;9;204;401;60;60;0.5;39.86;0.195392157
26;14467;22;229;401;58;58;0.6;88.40944444;0.386067443
27;12859;33;250;402;58;58;0.6;117.8741667;0.471496667
28;11267;41;266;402;60;60;0.6;128.3186111;0.482400794
29;9458;49;278;401;63;63;0.6;128.7338889;0.463071543
30;11503;0;70;271;53;53;0.3;0;0
31;10705;5;77;271;51;51;0.3;14.86805556;0.193091631
32;9687;10;84;271;50;50;0.3;26.90833333;0.320337302
33;8558;15;90;271;50;50;0.3;35.65833333;0.396203704
34;7430;19;95;271;51;51;0.3;39.21388889;0.412777778
34;6296;22;98;271;53;53;0.3;38.47555556;0.39260771
